University,Author Name,Author URL
ÖZYEĞİN ÜNİVERSİTESİ,Luis MARTIN-DOMINGO,https://scholar.google.com/citations?view_op=medium_photo&user=W06ngRcAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Çimen Günay-Erkol,https://scholar.google.com/citations?view_op=medium_photo&user=hSCwJWUAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Bahriye Cesaret,https://scholar.google.com/citations?view_op=medium_photo&user=KgG17xYAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Asli Agirbas,https://scholar.google.com/citations?view_op=medium_photo&user=vexduisAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Nida Türegün,https://scholar.google.com/citations?view_op=medium_photo&user=AcXtvL4AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Berna Zengin Arslan,https://scholar.google.com/citations?view_op=medium_photo&user=AM0lJZ4AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Sebnem Timur Ogut,https://scholar.google.com/citations?view_op=medium_photo&user=KeIpnXYAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,zeliha aydin,https://scholar.google.com/citations?view_op=medium_photo&user=7ZA9ovEAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ismail Akturk,https://scholar.google.com/citations?view_op=medium_photo&user=B5hTe7sAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Gokturk Poyrazoglu,https://scholar.google.com/citations?view_op=medium_photo&user=rh6nY_8AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Omer Karadag,https://scholar.google.com/citations?view_op=medium_photo&user=uTGdB04AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Senem ZEYTINOGLU-SAYDAM,https://scholar.google.com/citations?view_op=medium_photo&user=ihJup0wAAAAJ
